original_Name,original_Address,original_Unit Number,original_Radius,original_Notes,original_Contact Name,original_Email,original_Phone,original_Open From,original_Open To,original_Stop Duration (mins),validation,validation_details,confidence,confidence_city_level,confidence_street_level,lat,lon,name,formatted,housenumber,street,suburb,postcode,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
CI8974,"1650 East Silver Star, Ocoee, FL 34761",,40,Circle K # 2708974,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,28.57415,-81.516895,,"1650 East Silver Star Road, Ocoee, FL 34761, United States of America",1650,East Silver Star Road,,34761,Ocoee,Orange County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
D21587,"50 South Rosalind Avenue, Orlando, FL 32801",,40,Dollar General Store 21587,,,,,,,CONFIRMED,,1,1,1,28.541764,-81.376064,,"50 South Rosalind Avenue, Orlando, FL 32801, United States of America",50,South Rosalind Avenue,Downtown Orlando,32801,Orlando,Orange County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
F02004,"2900 Broadway Avenue, Riviera Beach, FL 33404",,40,Family Dollar Store 02004,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,26.785449,-80.053486,,"2900 Broadway, Riviera Beach, FL 33404, United States of America",2900,Broadway,,33404,Riviera Beach,Palm Beach County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
F11076,"1049 King Street, Cocoa, FL 32922",,40,Family Dollar Store 11076,,,,,,,CONFIRMED,,1,1,1,28.355567,-80.74347410204082,,"1049 King Street, Cocoa, FL 32922, United States of America",1049,King Street,,32922,Cocoa,Brevard County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FUT804,"2294 East Irlo Bronson Memorial Highway, Kissimmee, FL 34744",,40,Rebel # 804,,,,,,,CONFIRMED,,1,1,1,28.283013,-81.351317,,"2294 East Irlo Bronson Memorial Highway, Kissimmee, FL 34744, United States of America",2294,East Irlo Bronson Memorial Highway,,34744,Kissimmee,Osceola County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
GHA003,"9190 SW 40th Street, Miami, FL 33165",,40,Marathon # 40,,,,,,,CONFIRMED,,1,1,1,25.7326362,-80.3433907,,"9190 Southwest 40th Street, Miami, FL, United States of America",9190,Southwest 40th Street,Coconut Grove,,Miami,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
JML002,"8880 Lantana Road, Lake Worth, FL 33467",,40,Pump & Munch,,,,,,,CONFIRMED,,1,1,1,26.590205,-80.186605,,"8880 Lantana Road, Lake Worth, FL 33467, United States of America",8880,Lantana Road,,33467,Lake Worth,Palm Beach County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
JRS001,"4825 NW 27th Avenue, Miami, FL 33142",,40,Jr's Food Store,,,,,,,CONFIRMED,,1,1,1,25.81891065,-80.24034947438784,,"4825 Northwest 27th Avenue, Brownsville, FL 33142, United States of America",4825,Northwest 27th Avenue,,33142,Brownsville,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
JS0001,"13748 SW 152nd Street, Miami, FL 33177",,40,J's Liquors,,,,,,,CONFIRMED,,1,1,1,25.6249653,-80.4154683,,"13748 Southwest 152nd Street, Miami-Dade County, FL 33177, United States of America",13748,Southwest 152nd Street,,33177,,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
JWL001,"2657 Old Dixie Highway, Riviera Beach, FL 33404",,40,JW Liquors  (JW 2657 Corp),,,,,,,CONFIRMED,,1,1,1,26.784933,-80.067956,,"2657 Old Dixie Highway, Riviera Beach, FL 33404, United States of America",2657,Old Dixie Highway,,33404,Riviera Beach,Palm Beach County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
K&D001,"500 North Courtney Parkway, Merritt Island, FL 32953",,40,K& D Discount Food & Beverages,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.7000000000000001,1,0.7000000000000001,28.365058,-80.699883,,"500 North Courtenay Parkway, Merritt Island, FL 32953, United States of America",500,North Courtenay Parkway,,32953,Merritt Island,Brevard County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KAB001,"19565 NW 57th Avenue, Miami Gardens, FL 33055",,40,National 5 Supermaket,,,,,,,CONFIRMED,,1,1,1,25.956992,-80.294437,,"19565 Northwest 57th Avenue, Royal Country, FL 33055, United States of America",19565,Northwest 57th Avenue,,33055,Royal Country,Miami-Dade County,Florida,FL,United States,us,,,
KAB002,"902 North Dixie Highway, Lake Worth, FL 33460",,40,Stop N Shop,,,,,,,CONFIRMED,,1,1,1,26.626433,-80.056604,,"902 North Dixie Highway, Lake Worth, FL 33460, United States of America",902,North Dixie Highway,,33460,Lake Worth,Palm Beach County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KAL001,"518 South Dr Martin Luther King Jr Boulevard, Daytona Beach, FL 32114",,40,King Food,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,29.200208,-81.024359,,"518 S Dr Martin Luther King Boulevard, Daytona Beach, FL 32114, United States of America",518,S Dr Martin Luther King Boulevard,,32114,Daytona Beach,Volusia County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KAL002,"322 East Main Street, Apopka, FL 32703",,40,Bp To Go,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,28.6728052,-81.5045025,,"322 Main Street, Apopka, FL 32703, United States of America",322,Main Street,,32703,Apopka,Orange County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KAM003,"906 NW 4th Street, Homestead, FL 33030",,40,9th Avenue Food Mart,,,,,,,CONFIRMED,,1,1,1,25.4731565,-80.48875999971057,,"906 Northwest 4th Street, Homestead, FL 33030, United States of America",906,Northwest 4th Street,,33030,Homestead,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KAR002,"7336 Southgate Boulevard, North Lauderdale, FL 33068",,40,Mobil,,,,,,,CONFIRMED,,1,1,1,26.22803,-80.22441,,"7336 Southgate Boulevard, North Lauderdale, FL 33068, United States of America",7336,Southgate Boulevard,,33068,North Lauderdale,Broward County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KAS001,"1001 South Congress Avenue, Delray Beach, FL 33445",,40,Delray Valero,,,,,,,CONFIRMED,,1,1,1,26.446722,-80.092333,,"1001 South Congress Avenue, Delray Beach, FL 33445, United States of America",1001,South Congress Avenue,,33445,Delray Beach,Palm Beach County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KAT004,"16058 SW Warfield Boulevard, Indiantown, FL 34956",,40,Three Amigos,,,,,,,CONFIRMED,,1,1,1,27.024229,-80.472366,,"16058 Southwest Warfield Boulevard, Indiantown, FL 34956, United States of America",16058,Southwest Warfield Boulevard,,34956,Indiantown,Martin County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KAT005,"154 NW 57th Avenue, Miami, FL 33126",,40,Katy High Fashion Corp,,,,,,,CONFIRMED,,1,1,1,25.77239,-80.288273,,"154 NW 57th Avenue, Miami, FL 33126, United States of America",154,NW 57th Avenue,Blue Lagoon,33126,Miami,Miami-Dade County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KAU001,"150 North Volusia Avenue, Orange City, FL 32763",,40,Volusia Ave Chevron,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,28.949057250000003,-81.29836874991344,,"150 Volusia Avenue, Orange City, FL 32763, United States of America",150,Volusia Avenue,,32763,Orange City,Volusia County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KAV002,"3300 US-1, Edgewater, FL 32141",,40,Edgewater Shell,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.25,1,,28.973443,-80.906031,,"Edgewater, FL 32141, United States of America",,,,32141,Edgewater,Volusia County,Florida,FL,United States,us,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
KBC001,"225 SE 23rd Avenue, Boynton Beach, FL 33435",,40,Kwik Stop,,,,,,,CONFIRMED,,1,1,1,26.507385,-80.063451,,"225 Southeast 23rd Avenue, Boynton Beach, FL 33435, United States of America",225,Southeast 23rd Avenue,,33435,Boynton Beach,Palm Beach County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KCS001,"50 South Kenansville Road, Kenansville, FL 34739",,40,KCS Farm Store LLC,,,,,,,CONFIRMED,,1,1,1,27.876137,-80.987644,,"50 South Kenansville Road, Kenansville, FL 34739, United States of America",50,South Kenansville Road,,34739,Kenansville,Osceola County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KEG001,"952 South State Road 7, Margate, FL 33068",,40,The Keg King Llc,,,,,,,CONFIRMED,,1,1,1,26.216786,-80.203743,,"952 South State Road 7, North Lauderdale, FL 33068, United States of America",952,South State Road 7,,33068,North Lauderdale,Broward County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KEL007,"1000 Derbyshire Road, Daytona Beach, FL 32117",,40,Kellys Foodmart,,,,,,,CONFIRMED,,1,1,1,29.2321921,-81.0648982,,"1000 Derbyshire Road, Daytona Beach, FL 32117, United States of America",1000,Derbyshire Road,,32117,Daytona Beach,Volusia County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN002,"603-C Indian River Boulevard, Edgewater, FL 32132",,40,Kennys Liquor & Tobacco,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.81,1,0.9,28.970502,-80.902153,,"603 West Indian River Boulevard, Edgewater, FL 32132, United States of America",603,West Indian River Boulevard,,32132,Edgewater,Volusia County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KEN003,"500 North Volusia Avenue, Orange City, FL 32763",,40,Kenny's Groceries,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,28.9525134,-81.29853852504905,,"500 Volusia Avenue, Orange City, FL 32763, United States of America",500,Volusia Avenue,,32763,Orange City,Volusia County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN005,"14700 SW 88th Street, Miami, FL 33196",,40,Kendall Bp,,,,,,,CONFIRMED,,1,1,1,25.68454905,-80.43035149905441,Exxon,"Exxon, 14700 Southwest 88th Street, Miami-Dade County, FL 33196, United States of America",14700,Southwest 88th Street,,33196,,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN007,"13700 Miller Road, Miami, FL 33175",,40,Kendale Service Center Inc,,,,,,,PARTIALLY_CONFIRMED,CITY_LEVEL_DOUBTS,0.405,0.81,0.81,25.7198376,-80.2638025,Miller Road,"Miller Road, Coral Gables, FL 33146, United States of America",,Miller Road,,33146,Coral Gables,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN011,"9841 Kendall Drive, Miami, FL 33176",,40,Kendall Drive Shell,,,,,,,PARTIALLY_CONFIRMED,CITY_LEVEL_DOUBTS,0.405,0.9,0.81,25.68985,-80.278386,,"North Kendall Drive, Coral Gables, FL, United States of America",,North Kendall Drive,South Miami,,Coral Gables,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN013,"900 East 25th Street, Hialeah, FL 33013",,40,Kenya's Pet Shop,,,,,,,CONFIRMED,,1,1,1,25.8450462,-80.2640206,,"900 East 25th Street, Hialeah, FL 33013, United States of America",900,East 25th Street,,33013,Hialeah,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KENTTT,"PO Box 908001, Midland, FL 33317",,40,Kent Kwik,,,,,,,CONFIRMED,,1,1,,26.112236606,-80.221894826,,"Plantation, FL 33317, United States of America",,,,33317,Plantation,Broward County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN950,"77 South Okeechobee Road, Hialeah, FL 33010",,40,Kent Kwik 950,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.7,1,0.7,25.82502315,-80.28311643917733,,"77 Okeechobee Road, Hialeah, FL 33010, United States of America",77,Okeechobee Road,Miami Springs,33010,Hialeah,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN951,"8001 SW 67th Avenue, Miami, FL 33143",,40,Kent Kwik 951,,,,,,,CONFIRMED,,1,1,1,25.696309,-80.301027,,"8001 Southwest 67th Avenue, Miami-Dade County, FL 33143, United States of America",8001,Southwest 67th Avenue,,33143,,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN952,"18400 SW 177th Avenue, Miami, FL 33187",,40,Kent Kwik 952,,,,,,,CONFIRMED,,1,1,1,25.5936256,-80.4789794,,"18400 Southwest 177th Avenue, Miami-Dade County, FL 33187, United States of America",18400,Southwest 177th Avenue,,33187,,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN953,"24790 SW 177th Avenue, Homestead, FL 33031",,40,Kent Kwik 953,,,,,,,CONFIRMED,,1,1,1,25.535966157894737,-80.47810631578947,,"24790 Southwest 177th Avenue, Homestead, FL 33031, United States of America",24790,Southwest 177th Avenue,,33031,Homestead,Miami-Dade County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN954,"102630 Overseas Highway, Key Largo, FL 33037",,40,Kent Kwik 954,,,,,,,CONFIRMED,,1,1,1,25.127856,-80.411317,,"102630 Overseas Highway, Key Largo, FL 33037, United States of America",102630,Overseas Highway,,33037,Key Largo,Monroe,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KEN955,"2565 Overseas Highway, Key Largo, FL 33050",,40,Kent Kwik 955,,,,,,,CONFIRMED,,1,1,1,25.0852313,-80.4516512,,"2565 Overseas Highway, Key Largo, FL 33050, United States of America",2565,Overseas Highway,,33050,Key Largo,Monroe,Florida,FL,United States,us,,,
KEN956,"30662 Overseas Highway, Big Pine Key, FL 33043",,40,Kent Kwik 956,,,,,,,CONFIRMED,,1,1,1,24.6693562,-81.3525206,Tom Thumb,"Tom Thumb, 30662 Overseas Highway, Big Pine Key, FL 33043, United States of America",30662,Overseas Highway,,33043,Big Pine Key,Monroe County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN957,"5690 Maloney Avenue, Stock Island, FL 33040",,40,Kent Kwik 957,,,,,,,CONFIRMED,,1,1,1,24.572461485474754,-81.73613235269147,,"5690 Maloney Avenue, Stock Island, FL 33040, United States of America",5690,Maloney Avenue,Stock Island,33040,Stock Island,Monroe County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN958,"88501 Overseas Highway, Tavernier, FL 33070",,40,Kent Kwik 958,,,,,,,CONFIRMED,,1,1,1,24.974688,-80.554239,,"88501 Overseas Highway, Tavernier, FL 33070, United States of America",88501,Overseas Highway,,33070,Tavernier,Monroe,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KEN959,"97950 South Overseas Highway, Key Largo, FL 33037",,40,Kent Kwik 959,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,25.078259,-80.458876,,"97950 Overseas Highway, Key Largo, FL 33037, United States of America",97950,Overseas Highway,,33037,Key Largo,Monroe,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KEN960,"104701 Overseas Highway, Key Largo, FL 33037",,40,Kent Kwik 960,,,,,,,CONFIRMED,,1,1,1,25.15102696385293,-80.39135246639646,,"104701 Overseas Highway, Key Largo, FL 33037, United States of America",104701,Overseas Highway,,33037,Key Largo,Monroe County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN961,"5515 Overseas Highway, Marathon, FL 33050",,40,Kent Kwik 961,,,,,,,CONFIRMED,,1,1,1,24.716742857142858,-81.07344457142857,,"5515 Overseas Highway, Marathon, FL 33050, United States of America",5515,Overseas Highway,Marathon Centre,33050,Marathon,Monroe County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN962,"6601 Nova Drive, Davie, FL 33317",,40,Kent Kwik 962,,,,,,,CONFIRMED,,1,1,1,26.090188468229787,-80.24689959198128,,"6601 Nova Drive, Davie, FL 33317, United States of America",6601,Nova Drive,,33317,Davie,Broward County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KEN963,"4600 Dykes Road, Southwest Ranches, FL 33331",,40,Kent Kwik 963,,,,,,,CONFIRMED,,1,1,1,26.062002,-80.361582,,"4600 Dykes Road, Southwest Ranches, FL 33331, United States of America",4600,Dykes Road,,33331,Southwest Ranches,Broward County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
KER001,"5950 Sheridan Street, Hollywood, FL 33021",,40,Kerala Corp/ Mobil,,,,,,,CONFIRMED,,1,1,1,26.031995137931034,-80.2079484137931,,"5950 Sheridan Street, Hollywood, FL 33021, United States of America",5950,Sheridan Street,,33021,Hollywood,Broward County,Florida,FL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KES001,"495 Pearl Lake Causeway, Altamonte Springs, FL 32714",,40,Pearl Lake Citgo,,,,,,,PARTIALLY_CONFIRMED,STREET_LEVEL_DOUBTS,0.9,1,0.9,28.655458,-81.426783,,"495 South Pearl Lake Causeway, Altamonte Springs, FL 32714, United States of America",495,South Pearl Lake Causeway,,32714,Altamonte Springs,Seminole County,Florida,FL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,